Time(s),Steer(deg),Speed(km/h),YawRate(deg/s),Sideslip(deg),LatG,PosX(m),PosY(m)
0.68000,3.60000,60.00000,18.33554,0.07127,0.47607,11.49977,0.02831
0.69000,3.80000,60.00000,19.79467,0.04494,0.50888,11.66637,0.03308
0.70000,4.00000,60.00000,21.26432,0.01526,0.54253,11.83295,0.03838
0.71000,4.20000,60.00000,22.74193,-0.01757,0.57699,11.99952,0.04425
0.72000,4.40000,60.00000,24.22532,-0.05337,0.61220,12.16606,0.05071
0.73000,4.60000,60.00000,25.71262,-0.09192,0.64813,12.33257,0.05782
0.74000,4.80000,60.00000,27.20224,-0.13302,0.68473,12.49906,0.06559
0.75000,5.00000,60.00000,28.69286,-0.17648,0.72194,12.66551,0.07407
0.76000,5.20000,60.00000,30.18339,-0.22210,0.75972,12.83192,0.08329
0.77000,5.40000,60.00000,31.67291,-0.26970,0.79803,12.99829,0.09330
0.78000,5.60000,60.00000,33.16072,-0.31910,0.83682,13.16460,0.10412
0.79000,5.80000,60.00000,34.64624,-0.37012,0.87605,13.33086,0.11581
0.80000,6.00000,60.00000,36.12904,-0.42260,0.91567,13.49705,0.12839
0.81000,6.00000,60.00000,37.42880,-0.48423,0.92711,13.66317,0.14187
0.82000,6.00000,60.00000,38.56156,-0.55252,0.94093,13.82921,0.15628
0.83000,6.00000,60.00000,39.54264,-0.62537,0.95652,13.99517,0.17162
0.84000,6.00000,60.00000,40.38660,-0.70098,0.97334,14.16104,0.18791
0.85000,6.00000,60.00000,41.10717,-0.77786,0.99096,14.32681,0.20516
0.86000,6.00000,60.00000,41.71722,-0.85476,1.00899,14.49248,0.22340
0.87000,6.00000,60.00000,42.22873,-0.93066,1.02713,14.65803,0.24265
0.88000,6.00000,60.00000,42.65283,-1.00473,1.04510,14.82346,0.26291
0.89000,6.00000,60.00000,42.99977,-1.07633,1.06272,14.98876,0.28420
0.90000,6.00000,60.00000,43.27896,-1.14497,1.07980,15.15392,0.30655
0.91000,6.00000,60.00000,43.49902,-1.21027,1.09622,15.31894,0.32996
0.92000,6.00000,60.00000,43.66776,-1.27197,1.11188,15.48379,0.35445
0.93000,6.00000,60.00000,43.79226,-1.32992,1.12671,15.64849,0.38003
0.94000,6.00000,60.00000,43.87891,-1.38402,1.14067,15.81300,0.40672
0.95000,6.00000,60.00000,43.93342,-1.43427,1.15373,15.97733,0.43453
0.96000,6.00000,60.00000,43.96091,-1.48069,1.16589,16.14147,0.46346
0.97000,6.00000,60.00000,43.96592,-1.52337,1.17713,16.30540,0.49352
0.98000,6.00000,60.00000,43.95246,-1.56242,1.18749,16.46912,0.52474
0.99000,6.00000,60.00000,43.92406,-1.59799,1.19699,16.63261,0.55710
1.00000,6.00000,60.00000,43.88381,-1.63023,1.20565,16.79587,0.59063
1.01000,6.00000,60.00000,43.83438,-1.65932,1.21351,16.95889,0.62532
1.02000,6.00000,60.00000,43.77811,-1.68546,1.22062,17.12165,0.66118
1.03000,6.00000,60.00000,43.71696,-1.70883,1.22702,17.28415,0.69822
1.04000,6.00000,60.00000,43.65264,-1.72962,1.23274,17.44638,0.73643
1.05000,6.00000,60.00000,43.58657,-1.74803,1.23785,17.60832,0.77582
1.06000,6.00000,60.00000,43.51995,-1.76425,1.24238,17.76997,0.81640
1.07000,6.00000,60.00000,43.45374,-1.77845,1.24637,17.93132,0.85816
1.08000,6.00000,60.00000,43.38876,-1.79083,1.24988,18.09236,0.90111
1.09000,6.00000,60.00000,43.32563,-1.80154,1.25294,18.25308,0.94525
1.10000,6.00000,60.00000,43.26486,-1.81074,1.25560,18.41346,0.99057
1.11000,6.00000,60.00000,43.20683,-1.81860,1.25789,18.57351,1.03708
1.12000,6.00000,60.00000,43.15179,-1.82524,1.25985,18.73321,1.08477
1.13000,6.00000,60.00000,43.09994,-1.83081,1.26151,18.89255,1.13365
1.14000,6.00000,60.00000,43.05138,-1.83541,1.26290,19.05152,1.18371
1.15000,6.00000,60.00000,43.00616,-1.83918,1.26407,19.21011,1.23495
1.16000,6.00000,60.00000,42.96427,-1.84220,1.26502,19.36832,1.28737
1.17000,6.00000,60.00000,42.92566,-1.84458,1.26579,19.52613,1.34097
1.18000,6.00000,60.00000,42.89024,-1.84640,1.26640,19.68354,1.39574
1.19000,6.00000,60.00000,42.85790,-1.84773,1.26687,19.84054,1.45169
1.20000,6.00000,60.00000,42.82852,-1.84865,1.26723,19.99711,1.50880
1.21000,6.00000,60.00000,42.80193,-1.84922,1.26748,20.15326,1.56709
1.22000,6.00000,60.00000,42.77800,-1.84950,1.26764,20.30896,1.62653
1.23000,6.00000,60.00000,42.75654,-1.84953,1.26773,20.46422,1.68714
1.24000,6.00000,60.00000,42.73740,-1.84937,1.26775,20.61902,1.74890
1.25000,6.00000,60.00000,42.72041,-1.84904,1.26773,20.77335,1.81181
1.26000,6.00000,60.00000,42.70541,-1.84858,1.26767,20.92722,1.87588
1.27000,6.00000,60.00000,42.69222,-1.84802,1.26757,21.08060,1.94109
1.28000,6.00000,60.00000,42.68070,-1.84739,1.26744,21.23348,2.00744
1.29000,6.00000,60.00000,42.67069,-1.84671,1.26730,21.38587,2.07494
1.30000,6.00000,60.00000,42.66206,-1.84600,1.26715,21.53776,2.14356
1.31000,6.00000,60.00000,42.65467,-1.84526,1.26698,21.68912,2.21332
1.32000,6.00000,60.00000,42.64838,-1.84453,1.26681,21.83996,2.28421
1.33000,6.00000,60.00000,42.64309,-1.84379,1.26663,21.99027,2.35621
1.34000,6.00000,60.00000,42.63868,-1.84308,1.26646,22.14004,2.42934
1.35000,6.00000,60.00000,42.63505,-1.84238,1.26629,22.28926,2.50358
1.36000,6.00000,60.00000,42.63211,-1.84171,1.26612,22.43792,2.57893
1.37000,6.00000,60.00000,42.62977,-1.84107,1.26596,22.58602,2.65538
1.38000,6.00000,60.00000,42.62795,-1.84046,1.26581,22.73354,2.73294
1.39000,6.00000,60.00000,42.62658,-1.83989,1.26567,22.88048,2.81159
1.40000,6.00000,60.00000,42.62560,-1.83936,1.26553,23.02683,2.89134
1.41000,6.00000,60.00000,42.62496,-1.83886,1.26540,23.17258,2.97217
